Group;Total;AXW ;BAX ;SAX ;AXS-normal ;AXV ;AXU ;AXR 
/Kultur;17390;859;108;1811;1706;441;6679;5786
/Kultur/Alexander;5140;320;2;451;673;188;1574;1932
/Kultur/Andere;12129;551;106;1415;1056;260;5034;3707
/Natur;3859;206;56;425;687;135;1494;856
/Natur/Alexander;1367;117;4;188;308;48;379;323
/Natur/Andere;2021;143;39;97;208;32;1001;501
;;;;;;;;
Anzahl Tags;41906;2196;315;4387;4638;1104;16161;13105
Anzahl Wörter;379405;31845;2866;48465;33153;8553;146140;108383
;;;;;;;;
Prozentanteile Tag/Wörter;Total;AXW;BAX;SAX;AXS-normal;AXV;AXU;AXR
/Kultur;4,58%;2,70%;3,77%;3,74%;5,15%;5,16%;4,57%;5,34%
/Kultur/Alexander;1,35%;1,00%;0,07%;0,93%;2,03%;2,20%;1,08%;1,78%
/Kultur/Andere;3,20%;1,73%;3,70%;2,92%;3,19%;3,04%;3,44%;3,42%
/Natur;1,02%;0,65%;1,95%;0,88%;2,07%;1,58%;1,02%;0,79%
/Natur/Alexander;0,36%;0,37%;0,14%;0,39%;0,93%;0,56%;0,26%;0,30%
/Natur/Andere;0,53%;0,45%;1,36%;0,20%;0,63%;0,37%;0,68%;0,46%
;;;;;;;;
Prozentanteile  Tag/Tags;Total;AXW;BAX;SAX;AXS-normal;AXV;AXU;AXR
/Kultur;41%;39%;34%;41%;37%;40%;41%;44%
/Kultur/Alexander;12%;15%;1%;10%;15%;17%;10%;15%
/Kultur/Andere;29%;25%;34%;32%;23%;24%;31%;28%
/Natur;9%;9%;18%;10%;15%;12%;9%;7%
/Natur/Alexander;3%;5%;1%;4%;7%;4%;2%;2%
/Natur/Andere;5%;7%;12%;2%;4%;3%;6%;4%
